weapon_name,type,mode,monster_name,part,BASE,TU1,TU2,TU3,TU4,TU5,BU_LS,BU_B
amatsu,water,css,Aknosom,Crest 0,1040.0,1040.0,1029.0,1025.0,1111.0,1154.0,1169.0,1066.0
amatsu,water,css,Aknosom,Head 0,1111.0,1108.0,1106.0,1107.0,1219.0,1271.0,1310.0,1244.0
amatsu,water,css,Aknosom,Leg 0,720.0,727.0,743.0,755.0,867.0,911.0,975.0,1020.0
amatsu,water,css,Aknosom,Neck 0,712.0,709.0,712.0,715.0,793.0,829.0,861.0,835.0
amatsu,water,css,Aknosom,Tail 0,735.0,740.0,745.0,751.0,842.0,881.0,922.0,916.0
amatsu,water,css,Aknosom,Tail Tip 0,695.0,702.0,715.0,725.0,827.0,868.0,926.0,955.0
amatsu,water,css,Aknosom,Torso 0,650.0,647.0,649.0,653.0,727.0,760.0,791.0,772.0
amatsu,water,css,Aknosom,Wing 0,1134.0,1139.0,1140.0,1144.0,1268.0,1324.0,1370.0,1323.0
amatsu,water,css,Almudron,Abdomen 0,604.0,604.0,597.0,595.0,645.0,670.0,679.0,618.0
amatsu,water,css,Almudron,Back 0,419.0,419.0,413.0,412.0,446.0,463.0,469.0,428.0
amatsu,water,css,Almudron,Foreleg 0,393.0,393.0,388.0,387.0,420.0,437.0,441.0,403.0
amatsu,water,css,Almudron,Foreleg 1,406.0,406.0,401.0,400.0,434.0,450.0,456.0,415.0
amatsu,water,css,Almudron,Head 0,921.0,921.0,912.0,908.0,985.0,1023.0,1035.0,943.0
amatsu,water,css,Almudron,Hind Leg 0,419.0,419.0,413.0,412.0,446.0,463.0,469.0,428.0
amatsu,water,css,Almudron,Large Mudbulb 0,1588.0,1588.0,1571.0,1565.0,1697.0,1763.0,1784.0,1626.0
amatsu,water,css,Almudron,Tail Base 0,921.0,921.0,912.0,908.0,985.0,1023.0,1035.0,943.0
amatsu,water,css,Almudron,Tail Tip 0,1070.0,1070.0,1058.0,1054.0,1143.0,1187.0,1202.0,1095.0
amatsu,water,css,Amatsu,Abdomen 0,604.0,604.0,597.0,595.0,645.0,670.0,679.0,618.0
amatsu,water,css,Amatsu,Abdomen 1,604.0,604.0,597.0,595.0,645.0,670.0,679.0,618.0
amatsu,water,css,Amatsu,Back 0,479.0,479.0,474.0,473.0,513.0,533.0,539.0,491.0
amatsu,water,css,Amatsu,Back 1,479.0,479.0,474.0,473.0,513.0,533.0,539.0,491.0
amatsu,water,css,Amatsu,Foreleg 0,667.0,667.0,658.0,656.0,712.0,739.0,748.0,682.0
amatsu,water,css,Amatsu,Foreleg 1,667.0,667.0,658.0,656.0,712.0,739.0,748.0,682.0
amatsu,water,css,Amatsu,Head 0,921.0,921.0,912.0,908.0,985.0,1023.0,1035.0,943.0
amatsu,water,css,Amatsu,Head 1,1070.0,1070.0,1058.0,1054.0,1143.0,1187.0,1202.0,1095.0
amatsu,water,css,Amatsu,Hind Leg 0,419.0,419.0,413.0,412.0,446.0,463.0,469.0,428.0
